token          lexeme

INTEGER        3      
SEPARATOR      )      
IDENTIFIER     a      
UNKNOWN        1John  
INTEGER        2      
SEPARATOR      (      
INTEGER        3      
OPERATOR       +      
INTEGER        3      
SEPARATOR      )      
OPERATOR       =      
INTEGER        4      
KEYWORD        while  
SEPARATOR      (      
IDENTIFIER     fahr   
OPERATOR       <      
IDENTIFIER     upper  
SEPARATOR      )      
IDENTIFIER     a      
OPERATOR       :=     
REAL           23.00  
KEYWORD        boolean
KEYWORD        if     
SEPARATOR      (      
IDENTIFIER     x      
OPERATOR       <      
INTEGER        3      
SEPARATOR      )      
IDENTIFIER     booleanif
SEPARATOR      (      
IDENTIFIER     x      
OPERATOR       <      
INTEGER        3      
SEPARATOR      )      
SEPARATOR      (      
IDENTIFIER     x      
OPERATOR       <      
INTEGER        3      
OPERATOR       <      
IDENTIFIER     a      
OPERATOR       =      
OPERATOR       =      
OPERATOR       =      
OPERATOR       =      
UNKNOWN        :      
UNKNOWN        :      
SEPARATOR      ;      
SEPARATOR      ;      
OPERATOR       :=     
UNKNOWN        :      
OPERATOR       :=     
